MON,TUES,WED,THURS,FRI,SAT,SUN
0,0,0,0.04,0.04,0,0.05
0,0,0,0.06,0.03,0.1,0
0,0,0,0.71,0,0,0
0,0.44,0.14,0.04,0.04,0.64,0
0.05,0,0,0,0.01,0.05,0
0,0,0.64,0,0,0,0
0.01,0,0,0,0.3,0.05,0
0,0,0.01,0,0,0,0
0,0.01,0.01,0.16,0,0,0.09
0.12,0.06,0.18,0.39,0,0.1,0
0,0,0,0,0.78,0.49,0
0,0.02,0,0,0.01,0.17,0
1.41,0.65,0.31,0,0,0.54,0
0,0,0,0,0,0,0
0,0,0,0,0,0.4,0.28
0,0,0,0.3,0.87,0.49,0
0.47,0,0,0,0,0,0
0,0.09,0,0.24,0,0.05,0
0,0.14,0,0,0.04,0.07,0
0.92,0.36,0.02,0.09,0.27,0,0
0.01,0,0.06,0,0,0,0.27
0.01,0,0,0,0,0,0.01
0,0,0,0,0,0,0
0,0,0,0,0.71,0,0
0,0,0.27,0.08,0,0,0.33
0,0,0,0,0,0,0
0.03,0,0.08,0.14,0,0,0
0,0.11,0.06,0.02,0,0,0
0.01,0.05,0,0.01,0,0,0
0,0,0,0,0.12,0,0
0.11,0.03,0,0,0,0,0.44
0.01,0.01,0,0,0.11,0.18,0
0.49,0,0.64,0.01,0,0,0.01
0,0,0.08,0.85,0.01,0,0
0.01,0.02,0,0,0.03,0,0
0,0,0.12,0,0,0,0
0,0,0.01,0.04,0.26,0.04,0
0,0,0,0,0,0.4,0
0.12,0,0,0,0,0,0
0,0,0,0,0.24,0,0.23
0,0,0,0.02,0,0,0
0,0,0,0.02,0,0,0
0.59,0,0,0,0,0.68,0
0,0.01,0,0,0,1.48,0.21
0.01,0,0,0,0.05,0.69,1.28
0,0,0,0,0.96,0,0.01
0,0,0,0,0,0.79,0.02
0.41,0,0.06,0.01,0,0,0.28
0,0,0,0.08,0.04,0,0
0,0,0,0,0,0,0
0,0.74,0,0,0,0,0
0.43,0.3,0,0.26,0,0.02,0.01
